Segment,Label,Current_Avg_Price,Recommended_Price,Current_LTV_CAC,Current_Churn,Count
0,At-Risk,5942.68,1052.3300805305541,158.18,72.0%,760
1,At-Risk,14124.04,1052.3300805305541,384.0,70.0%,219
2,At-Risk,1205.18,1052.3300805305541,24.25,69.0%,1705
3,At-Risk,1088.63,1052.3300805305541,39.05,72.0%,1538
